"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA"
368,6,6,"M",0,0,3.5,1140,"Business & Economics",0,0,NA
369,7,6,"F",0,0,3.64,1340,"Arts & Letters",1,0,NA
370,7,5,"F",0,0,3.05,1190,"Business & Economics",0,0,NA
371,7,6,"F",1,0,4.08,1430,"Business & Economics",1,0,NA
372,7,6,"M",1,0,3.94,1260,"Business & Economics",1,1,3.1
373,5,4,"F",0,0,3.85,1170,"Arts & Letters",0,1,3.397
374,6,6,"F",1,0,3.58,1170,"Arts & Letters",0,0,NA
375,6,7,"F",1,0,2.68,830,"Math & Science",0,0,NA
376,6,6,"F",1,0,3.9,1300,"Math & Science",1,1,3.205
377,6,4,"F",1,0,3.09,1090,"Business & Economics",0,0,NA
378,7,7,"M",1,0,4.33,1470,"Math & Science",1,0,NA
379,6,7,"M",1,0,3.59,1090,"Arts & Letters",0,0,NA
380,6,3,"M",1,0,3.8,1320,"Math & Science",1,1,3.09
381,6,6,"M",1,0,3.45,1040,"Arts & Letters",0,0,NA
382,4,5,"F",1,0,3.84,1390,"Arts & Letters",0,1,3.338
383,6,6,"F",1,0,4.08,1320,"Business & Economics",1,0,NA
384,5,4,"M",1,0,3.35,1320,"Math & Science",0,0,NA
385,6,6,"F",0,1,3.5,1160,"Business & Economics",0,0,NA
386,4,4,"F",1,0,3,1170,"Math & Science",0,0,NA
387,6,6,"M",0,1,3.2,1190,"Math & Science",0,0,NA
388,3,3,"M",0,0,3.79,1130,"Math & Science",1,0,NA
389,6,7,"F",0,0,3.53,1290,"Math & Science",0,0,NA
390,6,6,"F",1,0,3.8,1250,"Business & Economics",0,0,NA
391,4,6,"F",1,0,4,1110,"Arts & Letters",0,0,NA
392,4,6,"M",0,0,3.52,1160,"Business & Economics",0,0,NA
393,3,5,"F",0,0,3.91,1230,"Math & Science",1,1,2.918
