"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob","Enrolled_Factor","Enroll_Tree_Pred","Enroll_Tree_Prob"
305,6,6,"F","0","0",4.09,1290,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
306,7,7,"M","1","0",4.25,1350,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
308,6,6,"F","0","0",4.13,1200,"Arts & Letters","1","0",NA,1,0.695652173913043,"0","0",0.00160901045856798
312,6,7,"F","0","0",4.23,1310,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
320,1,1,"M","0","1",3.83,1140,"Math & Science","1","0",NA,1,0.793939393939394,"0","0",0.173497267759563
324,3,4,"F","0","0",3.96,980,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
326,1,1,"M","0","0",3.57,1020,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
327,5,6,"M","1","0",4.25,1350,"Math & Science","1","1",3.159,1,0.896933560477002,"1","0",0.123106060606061
335,6,6,"F","1","0",3.85,1280,"Math & Science","1","0",NA,0,0.378048780487805,"0","0",0.00160901045856798
337,5,3,"M","1","0",4.14,1210,"Math & Science","1","0",NA,1,0.695652173913043,"0","0",0.00160901045856798
345,3,7,"M","1","0",4.35,1310,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
346,5,5,"M","0","0",4,1430,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
347,1,1,"M","0","0",3.73,1160,"Math & Science","1","1",3.133,1,0.855172413793103,"1","1",1
350,6,6,"M","1","0",3.86,1250,"Arts & Letters","1","1",3.503,1,0.854901960784314,"1","1",1
356,1,1,"F","0","0",4,940,"Math & Science","1","0",NA,0,0.320754716981132,"0","0",0.00160901045856798
357,2,2,"F","0","1",3.68,1030,"Math & Science","1","1",2.479,1,0.855172413793103,"1","1",1
359,2,2,"F","0","1",4.29,1190,"Math & Science","1","0",NA,1,0.793939393939394,"0","0",0.173497267759563
364,3,3,"F","0","0",4.2,1070,"Math & Science","1","0",NA,0,0.308370044052863,"0","0",0.00160901045856798
